project_id|project_name|ward|sector|amount_allocated_zmw|amount_disbursed_zmw|fiscal_year|status|source_url|date_scraped
CDF-0001|Fabrication And Delivery Of 2500 Double Sitter Desks|All Wards|Education|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0002|Ambulance|All Wards|Health|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0003|Motor Bike-Chikanta Chiefdom|All Wards|Traditional Affairs|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0004|Motor Bike-Siachitema Chiefdom|All Wards|Traditional Affairs|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0005|Chiefs Palace-Chikanta|All Wards|Traditional Affairs|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0006|Chiefs Palace-Siachitema|All Wards|Traditional Affairs|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0007|Construction Of Police Post In Kasukwe|All Wards|Home Affairs|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0008|Construction Mortuary At Chikanta Habulile Mini Hospital) In Chikanta Ward|Chikanta|Health|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0009|Lubricants For Earth Moving Equipment|All Wards|Road Infrastructure|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0010|Rural Electrification (Rea)|All Wards|Energy|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0011|Construction Of Girls Dormitory & Ablution Block At Bbilili Secondary School|Bbilili|Education|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0012|Construclion Of Maternity Annex At Mikata Health Center|Mikata|Health|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0013|Health Post At Najinka|Katanda|Health|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0014|Completion Of Ngole Bridge|Chamuka|Road Infrastructure|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0015|Completion Of Simwanda Bridge|Naluja|Road Infrastructure|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0016|Drilling And Equiping Of Handpumps Simukongabajikal|Omba|Water Infrastructure|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0017|Drilling Of 29 Boreholes|All Wards|Water Infrastructure|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0018|Rehabilitation Of Boreholes|All Wards|Water Infrastructure|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3025|2026-09-12
CDF-0019|Fabrication Of 1000 Qdesks|All Wards|Education|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0020|Chief'S Palaces Siachitema|Siachitema|Traditional Affairs|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0021|Construction Of Maternity Wing Kachenle Rhc|Chawila|Health|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0022|Construction Of Maternity Wing Rr Clinic|Chilesha|Health|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0023|Purchase Of Ambulance|All Wards|Health|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0024|Rea|All Wards|Energy|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0025|Additional Funding For Construction Of Kalonda Dam|Kalonda|Water Resources|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0026|Dip Tank Nazilongo|Simayakwe|Agriculture|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0027|Nstallation Of Street Lights|Mwaata|Energy|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0028|Completion Of Choonga Prim & Sec Lab|Choonga|Education|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0029|Completion Of Greenacres Prim & Sec Lab|Mwaata|Education|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0030|Chief'S Palaces Sipatunyana|Sipatunyana|Traditional Affairs|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0031|Motorbike Sipatunyana|Sipatunyana|Traditional Affairs|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0032|Motorbike Siachitema Shared Cost|Siachitema|Traditional Affairs|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0033|Additional Funding For Steel Drum Compactor|All Wards|Road Infrastructure|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0034|Additional Funding For Drilling Rig|All Wards|Water Infrastructure|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0035|Completion Of 1X3 Crb At Kasikili|Sipatunyana|Education|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0036|Completion Of 1X3 Crb At Macraymond|Mwaata|Education|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0037|Completion Of 1X3 Crb At Sikweya|Chawila|Education|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0038|Completion Of 1X2 Crb At Siampayuma School|Kalonda|Education|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0039|Completion Of Clinic At Mulwazi|Simayakwe|Health|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0040|Completion Of Clinic Muchenje Rhc|Choonga|Health|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
CDF-0041|Completion Of Clinic Dabali Rhc|Nachikungu|Health|N/A|N/A|2024|Approved|https://www.kalomocouncil.gov.zm/?page_id=3020|2026-09-12
