council_name|fiscal_year|record_type|amount_zmw|target_or_actual|source_url|scrape_date|percent_of_target|notes
Kalomo Town Council|2024|expenditure_actual|77076699.0|actual|http://www.kalomocouncil.gov.zm/wp-content/uploads/2025/12/community-Engagement-meeting-2025-Budget.pdf|2026-09-12|80.8|
Kalomo Town Council|2024|total_approved_budget|95399253.0|target|http://www.kalomocouncil.gov.zm/wp-content/uploads/2025/12/community-Engagement-meeting-2025-Budget.pdf|2026-09-12||
Kalomo Town Council|2025|central_govt_transfers_budget|135701875.0|target|https://www.kalomocouncil.gov.zm/?p=4687|2026-09-12||
Kalomo Town Council|2025|fees_and_charges_actual|1260217.0|actual|http://www.kalomocouncil.gov.zm/wp-content/uploads/2025/11/2026-BUDGET-CONSULTATIVE-MEETING.pdf|2026-09-12|68.0|Extracted from a flattened PDF budget table; verify against the source PDF if precision matters, as table layout extraction is more fragile than prose extraction.
Kalomo Town Council|2025|fees_and_charges_actual|210000.0|actual|http://www.kalomocouncil.gov.zm/wp-content/uploads/2026/08/BUDGET-2026.pdf|2026-09-12|11.3|Extracted from a flattened PDF budget table; verify against the source PDF if precision matters, as table layout extraction is more fragile than prose extraction.
Kalomo Town Council|2025|fees_and_charges_actual|200000.0|actual|http://www.kalomocouncil.gov.zm/wp-content/uploads/2025/11/2025-Revised-Budget.pdf|2026-09-12|10.8|Extracted from a flattened PDF budget table; verify against the source PDF if precision matters, as table layout extraction is more fragile than prose extraction.
Kalomo Town Council|2025|fees_and_charges_budget|1854513.0|target|http://www.kalomocouncil.gov.zm/wp-content/uploads/2025/11/2026-BUDGET-CONSULTATIVE-MEETING.pdf|2026-09-12||Extracted from a flattened PDF budget table; verify against the source PDF if precision matters, as table layout extraction is more fragile than prose extraction.
Kalomo Town Council|2025|fees_and_charges_budget|200000.0|target|http://www.kalomocouncil.gov.zm/wp-content/uploads/2026/08/BUDGET-2026.pdf|2026-09-12||Extracted from a flattened PDF budget table; verify against the source PDF if precision matters, as table layout extraction is more fragile than prose extraction.
Kalomo Town Council|2025|lgef_disbursement|11706441.0|target|http://www.kalomocouncil.gov.zm/wp-content/uploads/2025/11/2025-Revised-Budget.pdf|2026-09-12||Extracted from a flattened PDF budget table; verify against the source PDF if precision matters, as table layout extraction is more fragile than prose extraction.
Kalomo Town Council|2025|local_taxes_actual|713855.0|actual|http://www.kalomocouncil.gov.zm/wp-content/uploads/2025/12/community-Engagement-meeting-2025-Budget.pdf|2026-09-12|47.8|Extracted from a flattened PDF budget table; verify against the source PDF if precision matters, as table layout extraction is more fragile than prose extraction.
Kalomo Town Council|2025|local_taxes_actual|703612.0|actual|http://www.kalomocouncil.gov.zm/wp-content/uploads/2025/11/2026-BUDGET-CONSULTATIVE-MEETING.pdf|2026-09-12|47.2|Extracted from a flattened PDF budget table; verify against the source PDF if precision matters, as table layout extraction is more fragile than prose extraction.
Kalomo Town Council|2025|local_taxes_budget|1492018.0|target|http://www.kalomocouncil.gov.zm/wp-content/uploads/2025/12/community-Engagement-meeting-2025-Budget.pdf|2026-09-12||Extracted from a flattened PDF budget table; verify against the source PDF if precision matters, as table layout extraction is more fragile than prose extraction.
Kalomo Town Council|2025|local_taxes_budget|1407959.0|target|http://www.kalomocouncil.gov.zm/wp-content/uploads/2025/11/2026-BUDGET-CONSULTATIVE-MEETING.pdf|2026-09-12||Extracted from a flattened PDF budget table; verify against the source PDF if precision matters, as table layout extraction is more fragile than prose extraction.
Kalomo Town Council|2025|market_fees_budget|250000.0|target|http://www.kalomocouncil.gov.zm/wp-content/uploads/2025/11/2025-Revised-Budget.pdf|2026-09-12||Extracted from a flattened PDF budget table; verify against the source PDF if precision matters, as table layout extraction is more fragile than prose extraction.
Kalomo Town Council|2025|own_source_revenue_budget|9205027.0|target|https://www.kalomocouncil.gov.zm/?p=4687|2026-09-12||OSR budget affected by lower projected plot premium revenue in 2026
Kalomo Town Council|2025|total_approved_budget|144906902.0|target|https://www.kalomocouncil.gov.zm/?p=4687|2026-09-12||
Kalomo Town Council|2026|lgef_disbursement|11706441.0|target|http://www.kalomocouncil.gov.zm/wp-content/uploads/2026/08/BUDGET-2026.pdf|2026-09-12||Extracted from a flattened PDF budget table; verify against the source PDF if precision matters, as table layout extraction is more fragile than prose extraction.
Kalomo Town Council|2026|market_fees_budget|250000.0|target|http://www.kalomocouncil.gov.zm/wp-content/uploads/2026/08/BUDGET-2026.pdf|2026-09-12||Extracted from a flattened PDF budget table; verify against the source PDF if precision matters, as table layout extraction is more fragile than prose extraction.
