text_line,source_file_name,page_number,x_min,y_min,x_max,y_max,ocr_confidence
MINISTRY OF LOCAL GOVERNMENT AND RURAL DEVELOFMENT,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1517.0,197.0,2498.0,233.0,0.55951
DUNDUMWEZI COMMUNITY PROJECT- 2025,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1818.0,235.0,2477.0,271.0,0.90752
Reason,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2909.0,276.0,3011.0,312.0,0.99993
Project Description,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1390.0,278.0,1627.0,317.0,0.87476
Type of Project,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2180.0,279.0,2372.0,315.0,0.7317
Comments,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2636.0,280.0,2777.0,311.0,0.91362
Sector,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1959.0,282.0,2043.0,311.0,0.99996
Ward,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2461.0,282.0,2536.0,311.0,0.99999
Project Name,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,854.0,284.0,1027.0,320.0,0.75456
No_,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,428.0,288.0,470.0,319.0,0.97181
APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2634.0,316.0,2776.0,354.0,0.99658
TLB,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2180.0,317.0,2238.0,353.0,0.99531
All Wards,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2462.0,317.0,2597.0,353.0,0.88071
Procurement Of TZLB,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1391.0,320.0,1668.0,356.0,0.66379
Transport,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1961.0,320.0,2098.0,356.0,0.99961
NA,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2913.0,321.0,2952.0,349.0,0.99997
TLB,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,499.0,329.0,555.0,360.0,0.99504
Education,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1961.0,358.0,2098.0,394.0,0.99998
Desks,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2183.0,358.0,2268.0,394.0,0.99991
AIl Wards,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2462.0,358.0,2597.0,394.0,0.66019
APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2633.0,359.0,2774.0,391.0,0.99992
NA,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2913.0,359.0,2952.0,391.0,0.99998
Procurement Of Desks,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1391.0,361.0,1698.0,397.0,0.96276
DESKS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,498.0,366.0,594.0,403.0,0.99996
Additional Funds For the procurement of,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1391.0,399.0,1940.0,438.0,0.90928
Transport,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1960.0,399.0,2099.0,440.0,0.99997
Grader,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2180.0,399.0,2279.0,435.0,1.0
All Wards,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2463.0,400.0,2596.0,432.0,0.36869
GRADER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,499.0,408.0,618.0,440.0,0.99998
3,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,412.0,409.0,431.0,439.0,1.0
APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2636.0,436.0,2774.0,467.0,0.99977
NA,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2913.0,436.0,2952.0,465.0,0.99996
a Motor Grader,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1395.0,441.0,1602.0,473.0,0.97238
DRILLING AND INSTALLING OF A SOLAR,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1392.0,471.0,1925.0,503.0,0.88288
NNSUFFICEENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2909.0,501.0,3222.0,537.0,0.82099
BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1392.0,504.0,1547.0,536.0,0.99994
DRILLING,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2181.0,504.0,2314.0,536.0,0.99956
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2633.0,504.0,2865.0,536.0,0.9512
WATER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1962.0,507.0,2065.0,536.0,0.99984
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2463.0,507.0,2566.0,536.0,0.99961
NAHILA DIP TANK,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,507.0,513.0,749.0,541.0,0.78162
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2633.0,543.0,2865.0,574.0,0.712
INSUFFICEENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2910.0,543.0,3221.0,574.0,0.49837
CONSTRUCTION OF IX3 CRB,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1392.0,545.0,1769.0,577.0,0.67877
EDUCATION,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1962.0,545.0,2128.0,577.0,0.87656
CONSTRUCTION,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2181.0,545.0,2396.0,577.0,0.99892
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2463.0,545.0,2563.0,577.0,0.99982
NSALALI PRIMARY AND SECONDARY SCHOOL,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,507.0,548.0,1122.0,580.0,0.89889
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2635.0,580.0,2866.0,616.0,0.97937
INSUFFICENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2912.0,580.0,3222.0,616.0,0.64967
DRILLING OF A BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1392.0,584.0,1750.0,615.0,0.92487
